Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Support Item Number,Support Item Name,Unit,Quote,"Price Limit:  NT - SA 
TAS-WA
(MMM 1-5)   ","Price Limit: ACT - NSW
QLD - VIC
(MMM 1-5)   ","Price Limit:  National
Non-Remote
(MMM 1-5)   ","Price Limit:  National Remote
(MMM 6)   ","Price Limit:  National Very Remote
(MMM 7)   "
107,Daily Personal Activities,1,Assistance with daily life,01_014_0107_1_1_T,Assistance With Self-Care Activities - Standard - Sunday - TTP,H,N,,,$103.94,$145.52,$155.91
107,Daily Personal Activities,1,Assistance with daily life,01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
107,Daily Personal Activities,1,Assistance with daily life,01_015_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Evening - TTP,H,N,,,$63.36,$88.70,$95.04
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_016_0104_1_1,Specialised Home Based Assistance For A Child,H,N,,,$51.09,$71.53,$76.64
107,Daily Personal Activities,1,Assistance with daily life,01_017_0107_1_1,On-Call Overnight Monitoring - Off Site Or Onsite (Inc. 1 Hr Assist),E,Y,,,,,
120,Household Tasks,1,Assistance with daily life,01_019_0120_1_1,House And/or Yard Maintenance,H,N,,,$49.30,$69.02,$73.95
120,Household Tasks,1,Assistance with daily life,01_020_0120_1_1,House Cleaning And Other Household Activities,H,N,,,$50.20,$70.28,$75.30
120,Household Tasks,1,Assistance with daily life,01_021_0120_1_1,Linen Service,E,Y,,,,,
120,Household Tasks,1,Assistance with daily life,01_022_0120_1_1,Assistance With The Cost Of Preparation And Delivery Of Meals,E,Y,,,,,
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),D,Y,,,,,
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_027_0115_1_1,Assistance In A Shared Living Arrangement,E,Y,,,,,
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,D,N,,,$559.49,$783.29,$839.24
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,E,Y,,,,,
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_049_0104_1_1,Establishment Fee For Personal Care/Participation,E,N,,,$543.00,$760.20,$814.50
107,Daily Personal Activities,1,Assistance with daily life,01_049_0107_1_1,Establishment Fee For Personal Care/Participation,E,N,,,$543.00,$760.20,$814.50
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_049_0115_1_1,Cross Billing Payments For Residential Aged Care Subsidies And Supplements,W,N,,,,,
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,E,N,,,,,
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_051_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Saturday,D,N,,,$675.33,$945.46,"$1,013.00"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_052_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Sunday,D,N,,,$817.17,"$1,144.04","$1,225.76"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_053_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Public Holiday,D,N,,,$959.07,"$1,342.70","$1,438.61"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_054_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Weekday,D,N,,,$937.57,"$1,312.60","$1,406.36"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_055_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Saturday,D,N,,,"$1,169.25","$1,636.95","$1,753.88"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_056_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Sunday,D,N,,,"$1,452.93","$2,034.10","$2,179.40"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_057_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Public Holiday,D,N,,,"$1,736.73","$2,431.42","$2,605.10"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_058_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Weekday,D,N,,,"$1,693.73","$2,371.22","$2,540.60"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_059_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Saturday,D,N,,,"$2,157.09","$3,019.93","$3,235.64"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_060_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Sunday,D,N,,,"$2,724.45","$3,814.23","$4,086.68"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_061_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Public Holiday,D,N,,,"$3,292.05","$4,608.87","$4,938.08"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_062_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Weekday,D,N,,,$685.52,$959.73,"$1,028.28"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_063_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Saturday,D,N,,,$839.97,"$1,175.96","$1,259.96"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_064_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Sunday,D,N,,,"$1,029.09","$1,440.73","$1,543.64"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_065_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Public Holiday,D,N,,,"$1,218.29","$1,705.61","$1,827.44"
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_082_0115_1_1,Medium Term Accommodation,D,N,,,$129.07,$180.70,$193.61
117,Development Of Daily Living And Life Skills,1,Assistance with daily life,01_134_0117_8_1,Self-Management Capacity Building,H,N,,,$64.57,$90.40,$96.86
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_200_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_201_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_202_0115_1_1,Assistance With Self-Care Activities in a STA - Saturday,H,N,,,$76.18,$106.65,$114.27
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_203_0115_1_1,Assistance With Self-Care Activities in a STA - Sunday,H,N,,,$98.06,$137.28,$147.09
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_204_0115_1_1,Assistance With Self-Care Activities in a STA - Public Holiday,H,N,,,$119.94,$167.92,$179.91
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_205_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Night,H,N,,,$60.87,$85.22,$91.31
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_300_0104_1_1,Assistance With Self-Care Activities - Level 1 - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_300_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Weekday Daytime - TTP,H,N,,,$57.56,$80.58,$86.34
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_301_0104_1_1,Assistance With Self-Care Activities - Level 1 - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_301_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Weekday Evening - TTP,H,N,,,$63.36,$88.70,$95.04
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_302_0104_1_1,Assistance With Self-Care Activities - Level 1 - Saturday,H,N,,,$76.18,$106.65,$114.27
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_302_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Saturday - TTP,H,N,,,$80.75,$113.05,$121.13
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_303_0104_1_1,Assistance With Self-Care Activities - Level 1 - Sunday,H,N,,,$98.06,$137.28,$147.09
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_303_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Sunday - TTP,H,N,,,$103.94,$145.52,$155.91
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_304_0104_1_1,Assistance With Self-Care Activities - Level 1 - Public Holiday,H,N,,,$119.94,$167.92,$179.91
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_304_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Public Holiday - TTP,H,N,,,$127.14,$178.00,$190.71
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_305_0104_1_1,Assistance With Self-Care Activities - Level 1 - Weekday Night,H,N,,,$60.87,$85.22,$91.31
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_305_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Weekday Night - TTP,H,N,,,$64.52,$90.33,$96.78
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_400_0104_1_1,Assistance With Self-Care Activities - Level 2 - Weekday Daytime,H,N,,,$58.68,$82.15,$88.02
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_400_0104_1_1_T,Assistance With Self-Care Activities - Level 2 - Weekday Daytime - TTP,H,N,,,$61.94,$86.72,$92.91
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_401_0104_1_1,Assistance With Self-Care Activities - Level 2 - Weekday Evening,H,N,,,$64.59,$90.43,$96.89
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_401_0104_1_1_T,Assistance With Self-Care Activities - Level 2 - Weekday Evening - TTP,H,N,,,$68.18,$95.45,$102.27
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_402_0104_1_1,Assistance With Self-Care Activities - Level 2 - Saturday,H,N,,,$82.32,$115.25,$123.48
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_402_0104_1_1_T,Assistance With Self-Care Activities - Level 2 - Saturday - TTP,H,N,,,$86.89,$121.65,$130.34
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_403_0104_1_1,Assistance With Self-Care Activities - Level 2 - Sunday,H,N,,,$105.96,$148.34,$158.94
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_403_0104_1_1_T,Assistance With Self-Care Activities - Level 2 - Sunday - TTP,H,N,,,$111.84,$156.58,$167.76
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_404_0104_1_1,Assistance With Self-Care Activities - Level 2 - Public Holiday,H,N,,,$129.61,$181.45,$194.42
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_404_0104_1_1_T,Assistance With Self-Care Activities - Level 2 - Public Holiday - TTP,H,N,,,$136.81,$191.53,$205.22
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_405_0104_1_1,Assistance With Self-Care Activities - Level 2 - Weekday Night,H,N,,,$65.77,$92.08,$98.66
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_405_0104_1_1_T,Assistance With Self-Care Activities - Level 2 - Weekday Night - TTP,H,N,,,$69.42,$97.19,$104.13
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_500_0104_1_1,Assistance With Self-Care Activities - Level 3 - Weekday Daytime,H,N,,,$61.76,$86.46,$92.64
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_500_0104_1_1_T,Assistance With Self-Care Activities - Level 3 - Weekday Daytime - TTP,H,N,,,$65.02,$91.03,$97.53
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_501_0104_1_1,Assistance With Self-Care Activities - Level 3 - Weekday Evening,H,N,,,$67.98,$95.17,$101.97
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_501_0104_1_1_T,Assistance With Self-Care Activities - Level 3 - Weekday Evening - TTP,H,N,,,$71.57,$100.20,$107.36
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_502_0104_1_1,Assistance With Self-Care Activities - Level 3 - Saturday,H,N,,,$86.65,$121.31,$129.98
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_502_0104_1_1_T,Assistance With Self-Care Activities - Level 3 - Saturday - TTP,H,N,,,$91.22,$127.71,$136.83
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_503_0104_1_1,Assistance With Self-Care Activities - Level 3 - Sunday,H,N,,,$111.53,$156.14,$167.30
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_503_0104_1_1_T,Assistance With Self-Care Activities - Level 3 - Sunday - TTP,H,N,,,$117.41,$164.37,$176.12
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_504_0104_1_1,Assistance With Self-Care Activities - Level 3 - Public Holiday,H,N,,,$136.41,$190.97,$204.62
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_504_0104_1_1_T,Assistance With Self-Care Activities - Level 3 - Public Holiday - TTP,H,N,,,$143.61,$201.05,$215.42
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_505_0104_1_1,Assistance With Self-Care Activities - Level 3 - Weekday Night,H,N,,,$69.23,$96.92,$103.85
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_505_0104_1_1_T,Assistance With Self-Care Activities - Level 3 - Weekday Night - TTP,H,N,,,$72.88,$102.03,$109.32
114,Community Nursing Care,1,Assistance with daily life,01_600_0114_1_1,Delivery Of Health Supports By An Enrolled Nurse - Weekday Daytime,H,N,,,$86.62,$121.27,$129.93
114,Community Nursing Care,1,Assistance with daily life,01_601_0114_1_1,Delivery Of Health Supports By An Enrolled Nurse - Weekday Evening,H,N,,,$95.55,$133.77,$143.33
114,Community Nursing Care,1,Assistance with daily life,01_602_0114_1_1,Delivery Of Health Supports By An Enrolled Nurse - Saturday,H,N,,,$123.57,$173.00,$185.36
114,Community Nursing Care,1,Assistance with daily life,01_603_0114_1_1,Delivery Of Health Supports By An Enrolled Nurse - Sunday,H,N,,,$142.05,$198.87,$213.08
114,Community Nursing Care,1,Assistance with daily life,01_604_0114_1_1,Delivery Of Health Supports By An Enrolled Nurse - Public Holiday,H,N,,,$160.52,$224.73,$240.78
114,Community Nursing Care,1,Assistance with daily life,01_605_0114_1_1,Delivery Of Health Supports By An Enrolled Nurse - Weekday Night,H,N,,,$97.33,$136.26,$146.00
114,Community Nursing Care,1,Assistance with daily life,01_606_0114_1_1,Delivery Of Health Supports By A Registered Nurse - Weekday Daytime,H,N,,,$107.25,$150.15,$160.88
114,Community Nursing Care,1,Assistance with daily life,01_607_0114_1_1,Delivery Of Health Supports By A Registered Nurse - Weekday Evening,H,N,,,$118.31,$165.63,$177.47
114,Community Nursing Care,1,Assistance with daily life,01_608_0114_1_1,Delivery Of Health Supports By A Registered Nurse - Saturday,H,N,,,$153.05,$214.27,$229.58
114,Community Nursing Care,1,Assistance with daily life,01_609_0114_1_1,Delivery Of Health Supports By A Registered Nurse - Sunday,H,N,,,$175.95,$246.33,$263.93
114,Community Nursing Care,1,Assistance with daily life,01_610_0114_1_1,Delivery Of Health Supports By A Registered Nurse - Public Holiday,H,N,,,$198.85,$278.39,$298.28
114,Community Nursing Care,1,Assistance with daily life,01_611_0114_1_1,Delivery Of Health Supports By A Registered Nurse - Weekday Night,H,N,,,$120.51,$168.71,$180.77
114,Community Nursing Care,1,Assistance with daily life,01_612_0114_1_1,Delivery Of Health Supports By A Clinical Nurse - Weekday Daytime,H,N,,,$124.05,$173.67,$186.08
114,Community Nursing Care,1,Assistance with daily life,01_613_0114_1_1,Delivery Of Health Supports By A Clinical Nurse - Weekday Evening,H,N,,,$136.84,$191.58,$205.26
114,Community Nursing Care,1,Assistance with daily life,01_614_0114_1_1,Delivery Of Health Supports By A Clinical Nurse - Saturday,H,N,,,$177.03,$247.84,$265.55
114,Community Nursing Care,1,Assistance with daily life,01_615_0114_1_1,Delivery Of Health Supports By A Clinical Nurse - Sunday,H,N,,,$203.53,$284.94,$305.30
114,Community Nursing Care,1,Assistance with daily life,01_616_0114_1_1,Delivery Of Health Supports By A Clinical Nurse - Public Holiday,H,N,,,$230.02,$322.03,$345.03
114,Community Nursing Care,1,Assistance with daily life,01_617_0114_1_1,Delivery Of Health Supports By A Clinical Nurse - Weekday Night,H,N,,,$139.40,$195.16,$209.10
114,Community Nursing Care,1,Assistance with daily life,01_618_0114_1_1,Delivery Of Health Supports By A Clinical Nurse Consultant - Weekday Daytime,H,N,,,$146.72,$205.41,$220.08
114,Community Nursing Care,1,Assistance with daily life,01_619_0114_1_1,Delivery Of Health Supports By A Clinical Nurse Consultant - Weekday Evening,H,N,,,$161.86,$226.60,$242.79
114,Community Nursing Care,1,Assistance with daily life,01_620_0114_1_1,Delivery Of Health Supports By A Clinical Nurse Consultant - Saturday,H,N,,,$209.47,$293.26,$314.21
114,Community Nursing Care,1,Assistance with daily life,01_621_0114_1_1,Delivery Of Health Supports By A Clinical Nurse Consultant - Sunday,H,N,,,$240.84,$337.18,$361.26
114,Community Nursing Care,1,Assistance with daily life,01_622_0114_1_1,Delivery Of Health Supports By A Clinical Nurse Consultant - Public Holiday,H,N,,,$272.21,$381.09,$408.32
114,Community Nursing Care,1,Assistance with daily life,01_623_0114_1_1,Delivery Of Health Supports By A Clinical Nurse Consultant - Weekday Night,H,N,,,$164.88,$230.83,$247.32
114,Community Nursing Care,1,Assistance with daily life,01_624_0114_1_1,Delivery Of Health Supports By A Nurse Practitioner - Weekday Daytime,H,N,,,$153.39,$214.75,$230.09
114,Community Nursing Care,1,Assistance with daily life,01_625_0114_1_1,Delivery Of Health Supports By A Nurse Practitioner - Weekday Evening,H,N,,,$169.21,$236.89,$253.82
114,Community Nursing Care,1,Assistance with daily life,01_626_0114_1_1,Delivery Of Health Supports By A Nurse Practitioner - Saturday,H,N,,,$219.00,$306.60,$328.50
114,Community Nursing Care,1,Assistance with daily life,01_627_0114_1_1,Delivery Of Health Supports By A Nurse Practitioner - Sunday,H,N,,,$251.81,$352.53,$377.72
114,Community Nursing Care,1,Assistance with daily life,01_628_0114_1_1,Delivery Of Health Supports By A Nurse Practitioner - Public Holiday,H,N,,,$284.61,$398.45,$426.92
114,Community Nursing Care,1,Assistance with daily life,01_629_0114_1_1,Delivery Of Health Supports By A Nurse Practitioner - Weekday Night,H,N,,,$172.37,$241.32,$258.56
118,Early Intervention Supports For Early Childhood,1,Assistance with daily life,01_700_0118_1_3,Capacity Building Supports For Early Childhood Interventions - Psychology,H,N,$234.83,$214.41,,$328.76,$352.25
128,Therapeutic Supports,1,Assistance with daily life,01_701_0128_1_3,Assessment Recommendation Therapy And/or Training (Incl. AT) - Psychology,H,N,$234.83,$214.41,,$328.76,$352.25
118,Early Intervention Supports For Early Childhood,1,Assistance with daily life,01_720_0118_1_3,Capacity Building Supports For Early Childhood Interventions - Physiotherapy,H,N,$224.62,$193.99,,$314.47,$336.93
128,Therapeutic Supports,1,Assistance with daily life,01_721_0128_1_3,Assessment Recommendation Therapy And/or Training (Incl. AT) - Physiotherapy,H,N,$224.62,$193.99,,$314.47,$336.93
118,Early Intervention Supports For Early Childhood,1,Assistance with daily life,01_740_0118_1_3,Capacity Building Supports For Early Childhood Interventions - Other Therapy,H,N,,,$193.99,$271.59,$290.99
128,Therapeutic Supports,1,Assistance with daily life,01_741_0128_1_3,Assessment Recommendation Therapy And/or Training (Incl. AT) - Other Therapy,H,N,,,$193.99,$271.59,$290.99
128,Therapeutic Supports,1,Assistance with daily life,01_760_0128_3_3,Dietitian Consultation And Diet Plan Development,H,N,,,$193.99,$271.59,$290.99
106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,Assistance with daily life,01_790_0106_8_3,Level 1: Support Connection,H,N,,,$61.76,$86.46,$92.64
106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,Assistance with daily life,01_791_0106_8_3,Level 2: Coordination Of Supports,H,N,,,$100.14,$140.19,$150.21
132,Support Coordination,1,Assistance with daily life,01_794_0132_8_3,Level 3: Specialist Support Coordination,H,N,,,$190.54,$266.75,$285.80
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_795_0115_1_1,COVID-19 SIL Cleaning Services,E,N,,,$300.00,$420.00,$450.00
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_796_0115_1_1,COVID-19 SIL Additional Services,D,N,,,"$1,200.00","$1,680.00","$1,800.00"
104,High Intensity Daily Personal Activities,1,Assistance with daily life,01_799_0104_1_1,Provider travel - non-labour costs,E,N,,,,,
106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,Assistance with daily life,01_799_0106_1_1,Provider travel - non-labour costs,E,N,,,,,
107,Daily Personal Activities,1,Assistance with daily life,01_799_0107_1_1,Provider travel - non-labour costs,E,N,,,,,
114,Community Nursing Care,1,Assistance with daily life,01_799_0114_1_1,Provider travel - non-labour costs,E,N,,,,,
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_799_0115_1_1,Provider travel - non-labour costs,E,N,,,,,
117,Development Of Daily Living And Life Skills,1,Assistance with social and community participation,01_799_0117_8_1,Provider travel - non-labour costs,E,N,,,,,
118,Early Intervention Supports For Early Childhood,1,Assistance with daily life,01_799_0118_1_1,Provider travel - non-labour costs,E,N,,,,,
120,Household Tasks,1,Assistance with daily life,01_799_0120_1_1,Provider travel - non-labour costs,E,N,,,,,
128,Therapeutic Supports,1,Assistance with daily life,01_799_0128_1_1,Provider travel - non-labour costs,E,N,,,,,
132,Support Coordination,1,Assistance with daily life,01_799_0132_1_1,Provider travel - non-labour costs,E,N,,,,,
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_801_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_802_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_803_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Night,H,N,,,$60.87,$85.22,$91.31
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_804_0115_1_1,Assistance in Supported Independent Living - Standard - Saturday,H,N,,,$76.18,$106.65,$114.27
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_805_0115_1_1,Assistance in Supported Independent Living - Standard - Sunday,H,N,,,$98.06,$137.28,$147.09
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_806_0115_1_1,Assistance in Supported Independent Living - Standard - Public Holiday,H,N,,,$119.94,$167.92,$179.91
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_811_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Daytime,H,N,,,$58.68,$82.15,$88.02
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_812_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Evening,H,N,,,$64.59,$90.43,$96.89
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_813_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Night,H,N,,,$65.77,$92.08,$98.66
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_814_0115_1_1,Assistance in Supported Independent Living - High Intensity - Saturday,H,N,,,$82.32,$115.25,$123.48
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_815_0115_1_1,Assistance in Supported Independent Living - High Intensity - Sunday,H,N,,,$105.96,$148.34,$158.94
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_816_0115_1_1,Assistance in Supported Independent Living - High Intensity - Public Holiday,H,N,,,$129.61,$181.45,$194.42
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_832_0115_1_1,Assistance in Supported Independent Living - Night-Time Sleepover,E,N,,,$231.06,$323.48,$346.59
106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,Assistance with daily life,01_850_0106_1_1,Individualised Living Options - Exploration and Design,H,N,,,$100.14,$140.19,$150.21
